#FamilyID	SampleID	FatherID	MotherID	Sex	Population	Superpopulation	is_duo	is_trio	is_quartet	is_multigen	Sample_Illumina	Father_Illumina	Mother_Illumina	Sex_char
BB22	HG02258	HG02314	HG02315	1	ACB	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
BB22	HG02314	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB22	HG02315	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB23	HG02280	HG02307	HG02308	2	ACB	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
BB23	HG02307	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB23	HG02308	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB24	HG02281	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB24	HG02282	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB24	HG02321	HG02281	HG02282	2	ACB	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
BB25	HG02283	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB25	HG02309	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB26	HG02284	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB27	HG02316	HG02317	HG02318	1	ACB	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
BB27	HG02317	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB27	HG02318	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB28	HG02322	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB29	HG02323	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB30	HG02325	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB31	HG02337	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
